ID,FAT,SNF,Rate,ChartId,RateDate,Type,CurrentChart,RateChartName
1,3.0,7.5,14.399999618530273,1,2017-04-01,CM Rate   ,0,Gokul1
2,3.0,7.599999904632568,15.399999618530273,1,2017-04-01,CM Rate   ,0,Gokul1
3,3.0,7.699999809265137,16.399999618530273,1,2017-04-01,CM Rate   ,0,Gokul1
4,3.0,7.800000190734863,17.399999618530273,1,2017-04-01,CM Rate   ,0,Gokul1
5,3.0,7.900000095367432,18.399999618530273,1,2017-04-01,CM Rate   ,0,Gokul1
6,3.0,8.0,19.399999618530273,1,2017-04-01,CM Rate   ,0,Gokul1
7,3.0,8.100000381469727,20.399999618530273,1,2017-04-01,CM Rate   ,0,Gokul1
8,3.0,8.199999809265137,21.399999618530273,1,2017-04-01,CM Rate   ,0,Gokul1
9,3.0,8.300000190734863,21.700000762939453,1,2017-04-01,CM Rate   ,0,Gokul1
10,3.0,8.399999618530273,22.0,1,2017-04-01,CM Rate   ,0,Gokul1
11,3.0,8.5,22.299999237060547,1,2017-04-01,CM Rate   ,0,Gokul1
12,3.0,8.600000381469727,22.399999618530273,1,2017-04-01,CM Rate   ,0,Gokul1
13,3.0,8.699999809265137,22.450000762939453,1,2017-04-01,CM Rate   ,0,Gokul1
14,3.0,8.800000190734863,22.5,1,2017-04-01,CM Rate   ,0,Gokul1
15,3.0,8.899999618530273,22.549999237060547,1,2017-04-01,CM Rate   ,0,Gokul1
16,3.0,9.0,22.600000381469727,1,2017-04-01,CM Rate   ,0,Gokul1
17,3.0999999046325684,7.5,14.699999809265137,1,2017-04-01,CM Rate   ,0,Gokul1
18,3.0999999046325684,7.599999904632568,15.699999809265137,1,2017-04-01,CM Rate   ,0,Gokul1
19,3.0999999046325684,7.699999809265137,16.700000762939453,1,2017-04-01,CM Rate   ,0,Gokul1
20,3.0999999046325684,7.800000190734863,17.700000762939453,1,2017-04-01,CM Rate   ,0,Gokul1
21,3.0999999046325684,7.900000095367432,18.700000762939453,1,2017-04-01,CM Rate   ,0,Gokul1
22,3.0999999046325684,8.0,19.700000762939453,1,2017-04-01,CM Rate   ,0,Gokul1
23,3.0999999046325684,8.100000381469727,20.700000762939453,1,2017-04-01,CM Rate   ,0,Gokul1
24,3.0999999046325684,8.199999809265137,21.700000762939453,1,2017-04-01,CM Rate   ,0,Gokul1
25,3.0999999046325684,8.300000190734863,22.0,1,2017-04-01,CM Rate   ,0,Gokul1
26,3.0999999046325684,8.399999618530273,22.299999237060547,1,2017-04-01,CM Rate   ,0,Gokul1
27,3.0999999046325684,8.5,22.600000381469727,1,2017-04-01,CM Rate   ,0,Gokul1
28,3.0999999046325684,8.600000381469727,22.700000762939453,1,2017-04-01,CM Rate   ,0,Gokul1
29,3.0999999046325684,8.699999809265137,22.75,1,2017-04-01,CM Rate   ,0,Gokul1
30,3.0999999046325684,8.800000190734863,22.799999237060547,1,2017-04-01,CM Rate   ,0,Gokul1
31,3.0999999046325684,8.899999618530273,22.850000381469727,1,2017-04-01,CM Rate   ,0,Gokul1
32,3.0999999046325684,9.0,22.899999618530273,1,2017-04-01,CM Rate   ,0,Gokul1
33,3.200000047683716,7.5,15.0,1,2017-04-01,CM Rate   ,0,Gokul1
34,3.200000047683716,7.599999904632568,16.0,1,2017-04-01,CM Rate   ,0,Gokul1
35,3.200000047683716,7.699999809265137,17.0,1,2017-04-01,CM Rate   ,0,Gokul1
36,3.200000047683716,7.800000190734863,18.0,1,2017-04-01,CM Rate   ,0,Gokul1
37,3.200000047683716,7.900000095367432,19.0,1,2017-04-01,CM Rate   ,0,Gokul1
38,3.200000047683716,8.0,20.0,1,2017-04-01,CM Rate   ,0,Gokul1
39,3.200000047683716,8.100000381469727,21.0,1,2017-04-01,CM Rate   ,0,Gokul1
40,3.200000047683716,8.199999809265137,22.0,1,2017-04-01,CM Rate   ,0,Gokul1
41,3.200000047683716,8.300000190734863,22.299999237060547,1,2017-04-01,CM Rate   ,0,Gokul1
42,3.200000047683716,8.399999618530273,22.600000381469727,1,2017-04-01,CM Rate   ,0,Gokul1
43,3.200000047683716,8.5,22.899999618530273,1,2017-04-01,CM Rate   ,0,Gokul1
44,3.200000047683716,8.600000381469727,23.0,1,2017-04-01,CM Rate   ,0,Gokul1
45,3.200000047683716,8.699999809265137,23.049999237060547,1,2017-04-01,CM Rate   ,0,Gokul1
46,3.200000047683716,8.800000190734863,23.100000381469727,1,2017-04-01,CM Rate   ,0,Gokul1
47,3.200000047683716,8.899999618530273,23.149999618530273,1,2017-04-01,CM Rate   ,0,Gokul1
48,3.200000047683716,9.0,23.200000762939453,1,2017-04-01,CM Rate   ,0,Gokul1
49,3.299999952316284,7.5,15.300000190734863,1,2017-04-01,CM Rate   ,0,Gokul1
50,3.299999952316284,7.599999904632568,16.299999237060547,1,2017-04-01,CM Rate   ,0,Gokul1
51,3.299999952316284,7.699999809265137,17.299999237060547,1,2017-04-01,CM Rate   ,0,Gokul1
52,3.299999952316284,7.800000190734863,18.299999237060547,1,2017-04-01,CM Rate   ,0,Gokul1
53,3.299999952316284,7.900000095367432,19.299999237060547,1,2017-04-01,CM Rate   ,0,Gokul1
54,3.299999952316284,8.0,20.299999237060547,1,2017-04-01,CM Rate   ,0,Gokul1
55,3.299999952316284,8.100000381469727,21.299999237060547,1,2017-04-01,CM Rate   ,0,Gokul1
56,3.299999952316284,8.199999809265137,22.299999237060547,1,2017-04-01,CM Rate   ,0,Gokul1
57,3.299999952316284,8.300000190734863,22.600000381469727,1,2017-04-01,CM Rate   ,0,Gokul1
