ID,FAT,SNF,Rate,ChartId,RateDate,Type,CurrentChart,RateChartName
337,5.099999904632568,8.100000381469727,24.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
338,5.099999904632568,8.199999809265137,25.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
339,5.099999904632568,8.300000190734863,26.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
340,5.099999904632568,8.399999618530273,27.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
341,5.099999904632568,8.5,28.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
342,5.099999904632568,8.600000381469727,29.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
343,5.099999904632568,8.699999809265137,30.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
344,5.099999904632568,8.800000190734863,31.200000762939453,2,2017-04-01,BM Rate   ,0,Gokul1
345,5.099999904632568,8.899999618530273,31.5,2,2017-04-01,BM Rate   ,0,Gokul1
346,5.099999904632568,9.0,31.799999237060547,2,2017-04-01,BM Rate   ,0,Gokul1
347,5.099999904632568,9.100000381469727,31.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
348,5.099999904632568,9.199999809265137,31.950000762939453,2,2017-04-01,BM Rate   ,0,Gokul1
349,5.099999904632568,9.300000190734863,32.0,2,2017-04-01,BM Rate   ,0,Gokul1
350,5.099999904632568,9.399999618530273,32.04999923706055,2,2017-04-01,BM Rate   ,0,Gokul1
351,5.099999904632568,9.5,32.099998474121094,2,2017-04-01,BM Rate   ,0,Gokul1
352,5.099999904632568,9.600000381469727,32.150001525878906,2,2017-04-01,BM Rate   ,0,Gokul1
353,5.099999904632568,9.699999809265137,32.20000076293945,2,2017-04-01,BM Rate   ,0,Gokul1
354,5.099999904632568,9.800000190734863,32.25,2,2017-04-01,BM Rate   ,0,Gokul1
355,5.099999904632568,9.899999618530273,32.29999923706055,2,2017-04-01,BM Rate   ,0,Gokul1
356,5.099999904632568,10.0,32.349998474121094,2,2017-04-01,BM Rate   ,0,Gokul1
357,5.199999809265137,8.100000381469727,25.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
358,5.199999809265137,8.199999809265137,26.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
359,5.199999809265137,8.300000190734863,27.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
360,5.199999809265137,8.399999618530273,28.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
361,5.199999809265137,8.5,29.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
362,5.199999809265137,8.600000381469727,30.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
363,5.199999809265137,8.699999809265137,31.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
364,5.199999809265137,8.800000190734863,32.20000076293945,2,2017-04-01,BM Rate   ,0,Gokul1
365,5.199999809265137,8.899999618530273,32.5,2,2017-04-01,BM Rate   ,0,Gokul1
366,5.199999809265137,9.0,32.79999923706055,2,2017-04-01,BM Rate   ,0,Gokul1
367,5.199999809265137,9.100000381469727,32.900001525878906,2,2017-04-01,BM Rate   ,0,Gokul1
368,5.199999809265137,9.199999809265137,32.95000076293945,2,2017-04-01,BM Rate   ,0,Gokul1
369,5.199999809265137,9.300000190734863,33.0,2,2017-04-01,BM Rate   ,0,Gokul1
370,5.199999809265137,9.399999618530273,33.04999923706055,2,2017-04-01,BM Rate   ,0,Gokul1
371,5.199999809265137,9.5,33.099998474121094,2,2017-04-01,BM Rate   ,0,Gokul1
372,5.199999809265137,9.600000381469727,33.150001525878906,2,2017-04-01,BM Rate   ,0,Gokul1
373,5.199999809265137,9.699999809265137,33.20000076293945,2,2017-04-01,BM Rate   ,0,Gokul1
374,5.199999809265137,9.800000190734863,33.25,2,2017-04-01,BM Rate   ,0,Gokul1
375,5.199999809265137,9.899999618530273,33.29999923706055,2,2017-04-01,BM Rate   ,0,Gokul1
376,5.199999809265137,10.0,33.349998474121094,2,2017-04-01,BM Rate   ,0,Gokul1
377,5.300000190734863,8.100000381469727,26.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
378,5.300000190734863,8.199999809265137,27.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
379,5.300000190734863,8.300000190734863,28.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
380,5.300000190734863,8.399999618530273,29.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
381,5.300000190734863,8.5,30.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
382,5.300000190734863,8.600000381469727,31.899999618530273,2,2017-04-01,BM Rate   ,0,Gokul1
383,5.300000190734863,8.699999809265137,32.900001525878906,2,2017-04-01,BM Rate   ,0,Gokul1
384,5.300000190734863,8.800000190734863,33.20000076293945,2,2017-04-01,BM Rate   ,0,Gokul1
385,5.300000190734863,8.899999618530273,33.5,2,2017-04-01,BM Rate   ,0,Gokul1
386,5.300000190734863,9.0,33.79999923706055,2,2017-04-01,BM Rate   ,0,Gokul1
387,5.300000190734863,9.100000381469727,33.900001525878906,2,2017-04-01,BM Rate   ,0,Gokul1
388,5.300000190734863,9.199999809265137,33.95000076293945,2,2017-04-01,BM Rate   ,0,Gokul1
389,5.300000190734863,9.300000190734863,34.0,2,2017-04-01,BM Rate   ,0,Gokul1
390,5.300000190734863,9.399999618530273,34.04999923706055,2,2017-04-01,BM Rate   ,0,Gokul1
391,5.300000190734863,9.5,34.099998474121094,2,2017-04-01,BM Rate   ,0,Gokul1
